status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
... < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,male : single,none,3,building society savings agreement/ life insurance,75,none,S39126,2018/1/13,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/ life insurance,37,none,j87168,2018/10/23,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,42,bank,i61527,2018/7/13,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,1,male : single,none,1,building society savings agreement/ life insurance,45,stores,s20762,2018/2/3,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,... < 100 DM,... < 1 year,1,male : single,none,1,real estate,23,none,E72996,2018/3/9,rent,1,skilled employee / official,1,none,yes,1
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,60,none,S58506,2018/5/21,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,31,none,i73917,2018/6/7,own,1,skilled employee / official,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,W55356,2018/9/10,own,1,unskilled - resident,2,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,61,none,P85212,2018/1/20,own,2,unskilled - resident,1,none,yes,0
... < 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,N65589,2018/1/28,for free,2,skilled employee / official,2,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",37,none,E53032,2018/1/10,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",32,bank,R13290,2018/8/23,own,1,skilled employee / official,2,none,yes,0
... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,24,bank,w81062,2018/10/7,own,1,unskilled - resident,1,none,yes,1
no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,35,none,f77732,2018/1/16,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,real estate,23,none,L77545,2018/4/22,own,2,skilled employee / official,1,none,yes,0
no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,45,bank,e49662,2018/4/3,own,1,unskilled - resident,2,none,yes,0
... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... < 100 DM,4 <= ... < 7 years,1,male : single,guarantor,1,real estate,34,none,B25880,2018/3/22,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",27,none,s84477,2018/3/8,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,education,1199,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,building society savings agreement/ life insurance,67,none,h78237,2018/1/28,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",22,stores,u36045,2018/10/7,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",28,none,k77348,2018/12/8,own,2,skilled employee / official,1,none,yes,1
no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/ life insurance,29,bank,v19822,2018/2/5,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,bank,A63517,2018/6/22,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,31,none,m59957,2018/1/15,own,2,unskilled - resident,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,49,bank,N68979,2018/10/27,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",24,bank,G91985,2018/9/5,rent,1,unskilled - resident,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,... < 100 DM,... < 1 year,2,male : single,none,1,building society savings agreement/ life insurance,29,bank,F76523,2018/4/6,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,37,none,e57178,2018/11/19,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,bank,a70161,2018/7/25,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,23,none,E11338,2018/2/11,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",36,none,j75618,2018/12/9,own,1,skilled employee / official,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,... >= 1000 DM,... >= 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",34,none,q35955,2018/6/30,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",41,none,t26251,2018/7/19,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,none,W95801,2018/3/26,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,4,male : single,none,4,real estate,23,none,b99235,2018/8/13,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,"car or other, not in attribute Savings account/bonds",38,none,P51493,2018/3/27,own,1,skilled employee / official,1,none,yes,0
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,male : single,none,4,building society savings agreement/ life insurance,26,none,u12424,2018/7/28,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,22,none,a34501,2018/12/17,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,A60859,2018/5/4,own,2,unskilled - resident,1,none,yes,0
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",24,bank,H59844,2018/5/16,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2930,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,27,none,N92475,2018/2/26,own,1,skilled employee / official,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",33,none,X65161,2018/7/28,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,t28833,2018/12/1,own,2,skilled employee / official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,retraining,937,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",27,none,m52634,2018/6/24,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,30,bank,Q65511,2018/10/10,own,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,49,bank,T62905,2018/9/18,own,2,unskilled - resident,2,none,yes,0
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,26,none,U19499,2018/6/23,rent,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown / no property,33,none,H40080,2018/11/15,rent,1,unskilled - resident,1,none,yes,1
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,52,none,V38780,2018/10/24,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,20,bank,N26785,2018/11/13,rent,1,skilled employee / official,1,none,yes,1
... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,i44953,2018/3/6,rent,2,skilled employee / official,2,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/ life insurance,21,none,Z80617,2018/4/6,own,1,unskilled - resident,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,47,none,e74618,2018/10/4,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
... < 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,... < 100 DM,... >= 7 years,3,male : single,none,3,building society savings agreement/ life insurance,60,none,q44517,2018/1/2,own,2,skilled employee / official,1,none,yes,1
... < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,58,none,p48468,2018/9/10,own,4,unskilled - resident,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",42,none,P31164,2018/8/27,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,36,bank,E57799,2018/7/22,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,building society savings agreement/ life insurance,20,none,p36726,2018/2/3,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
... < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,... >= 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",40,stores,b68236,2018/11/27,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,1,male : single,none,1,building society savings agreement/ life insurance,32,stores,S84289,2018/7/2,own,1,unskilled - resident,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",23,none,a42691,2018/5/12,rent,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,y95197,2018/5/18,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,31,bank,v33075,2018/7/25,own,2,skilled employee / official,1,none,yes,1
no checking account,24,delay in paying off in the past,business,3863,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,unknown / no property,32,none,c25275,2018/10/22,for free,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,1,male : single,guarantor,1,real estate,45,none,l38513,2018/11/27,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... < 100 DM,1 <= ... < 4 years,4,male : single,none,1,building society savings agreement/ life insurance,30,none,M45936,2018/6/6,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,34,bank,w68997,2018/4/7,for free,1,unskilled - resident,1,none,yes,1
no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,a14662,2018/10/26,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,23,none,h86921,2018/2/7,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,p80414,2018/5/14,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,d38529,2018/7/10,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,co-applicant,4,unknown / no property,50,none,a82680,2018/6/30,for free,1,skilled employee / official,1,none,yes,1
no checking account,18,existing credits paid back duly till now,radio/television,2051,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,33,none,i22395,2018/5/1,own,1,skilled employee / official,1,none,yes,0
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,45,bank,I65139,2018/3/2,for free,1,skilled employee / official,2,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... < 500 DM,unemployed,4,male : single,none,3,building society savings agreement/ life insurance,22,none,A36441,2018/4/2,own,1,skilled employee / official,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,... >= 7 years,1,male : single,none,4,unknown / no property,48,none,C16315,2018/7/22,for free,1,unskilled - resident,2,none,yes,1
... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,... >= 1000 DM,... < 1 year,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",29,bank,I23544,2018/10/10,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM,1 <= ... < 4 years,1,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",22,bank,v14771,2018/5/21,rent,1,skilled employee / official,1,none,no,0
no checking account,18,delay in paying off in the past,furniture/equipment,1808,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,22,none,E77782,2018/2/12,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",48,bank,p51902,2018/4/11,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,27,none,i21716,2018/1/18,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,real estate,37,none,b39657,2018/4/9,rent,3,skilled employee / official,2,none,yes,0
0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,co-applicant,4,"car or other, not in attribute Savings account/bonds",21,none,P21899,2018/11/16,rent,1,skilled employee / official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,49,none,Q76025,2018/1/10,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,27,none,s28987,2018/10/7,own,2,skilled employee / official,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,32,bank,s66880,2018/11/13,own,2,skilled employee / official,1,none,yes,1
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,real estate,38,bank,l68656,2018/3/21,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... < 100 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",22,none,s41181,2018/6/29,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,65,none,U91432,2018/3/30,for free,2,skilled employee / official,1,none,yes,1
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",35,none,N23400,2018/9/4,own,1,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,41,none,k96855,2018/6/16,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown / no property,29,none,g84736,2018/11/8,own,1,skilled employee / official,1,none,yes,1
no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4042,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,E53825,2018/12/22,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,... >= 7 years,1,male : single,none,4,real estate,64,none,h76068,2018/1/13,own,1,unskilled - resident,1,none,yes,0
... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",28,none,E70445,2018/7/26,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",44,bank,N23788,2018/6/5,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,23,none,c50443,2018/3/11,own,1,skilled employee / official,1,none,yes,0
no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... < 100 DM,... < 1 year,2,male : single,co-applicant,2,"car or other, not in attribute Savings account/bonds",19,none,C82351,2018/8/16,rent,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",25,none,s50666,2018/2/3,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,education,1393,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,bank,T63559,2018/12/4,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",28,none,g11113,2018/1/23,own,1,skilled employee / official,1,none,yes,0
no checking account,60,delay in paying off in the past,radio/television,15653,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",21,none,R65958,2018/6/5,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",34,none,Z64478,2018/1/23,own,1,skilled employee / official,2,none,yes,0
... < 0 DM,42,delay in paying off in the past,radio/television,4370,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,26,bank,l56119,2018/2/26,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
... < 0 DM,18,existing credits paid back duly till now,education,750,... < 100 DM,unemployed,4,male : single,none,1,real estate,27,none,m92247,2018/10/6,own,1,unemployed/ unskilled - non-resident,1,none,yes,1
0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1308,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",38,none,i66697,2018/8/12,own,2,unskilled - resident,1,none,yes,0
no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,40,none,i87298,2018/8/21,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,2,"car or other, not in attribute Savings account/bonds",33,none,P66344,2018/6/18,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,building society savings agreement/ life insurance,32,none,f86366,2018/3/21,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,U97401,2018/7/25,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,32,none,M42594,2018/9/24,own,2,skilled employee / official,1,none,yes,0
no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,26,none,T30193,2018/5/24,own,1,skilled employee / official,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,38,bank,h37703,2018/5/15,for free,1,skilled employee / official,2,none,yes,1
... < 0 DM,12,existing credits paid back duly till now,education,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,u71525,2018/1/26,rent,1,unskilled - resident,2,none,yes,1
... < 0 DM,48,existing credits paid back duly till now,education,7476,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,unknown / no property,50,none,A10840,2018/1/3,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,none,l64743,2018/6/26,own,1,unskilled - resident,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,4,male : single,co-applicant,1,real estate,45,none,k80462,2018/6/8,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",42,none,c40045,2018/2/28,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",35,none,m34471,2018/4/11,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
